Trat,P
RES,7.24
RES,7.46
RES,7.59
RES,7.73
RES,7.86
RES,8.26
RES,8.39
RES,8.39
RES,8.53
RES,8.53
NR,8.69
NR,6.13
NR,6.79
NR,6.79
NR,6.93
NR,7.59
NR,7.86
NR,9.06
NR,9.59
NR,9.73
