groups,counts
G1 (S),54
G1 (S),67
G1 (S),47.2
G1 (S),71.1
G1 (S),62.7
G1 (S),44.8
G1 (S),67.4
G1 (S),80.2
G2 (U),79.8
G2 (U),82
G2 (U),88.8
G2 (U),79.6
G2 (U),85.7
G2 (U),81.7
G2 (U),88.5
G3 (N),98.6
G3 (N),99.5
G3 (N),95.8
G3 (N),93.3
G3 (N),98.9
G3 (N),91.1
G3 (N),94.5
