Date,South Fork,North Fork
5/23/1983,194,255
8/16/1983,348,353
10/5/1983,383,470
11/15/1983,225,353
1/10/1984,266,353
2/22/1984,194,295
4/24/1984,212,199
6/4/1984,320,410
7/19/1984,340,346
8/28/1984,310,405
